Workload,CPU,Mem,Set
fft0_5_run,248.51,0.39,set5
fft0_5_run,390.00,0.53,set5
fft0_5_run,315.00,0.62,set5
fft0_5_run,472.00,0.99,set5
fft0_5_run,157.00,1.08,set5
fft0_5_run,145.00,1.45,set5
fft0_5_run,141.00,1.45,set5
fft0_5_run,119.00,2.05,set5
fft0_5_run,214.00,2.06,set5
fft0_5_run,95.00,2.06,set5
fft0_5_run,263.00,2.62,set5
fft0_5_run,306.00,2.88,set5
fft0_5_run,139.00,2.88,set5
fft0_5_run,236.00,2.88,set5
fft0_5_run,200.00,2.88,set5
fft0_5_run,102.00,2.88,set5
fft0_5_run,106.00,3.63,set5
fft0_5_run,163.00,3.63,set5
fft0_5_run,184.00,3.63,set5
fft0_5_run,147.00,3.63,set5
fft0_5_run,128.00,3.63,set5
fft0_5_run,104.00,3.63,set5
fft0_5_run,137.00,3.63,set5
fft0_5_run,100.00,3.63,set5
fft0_5_run,187.00,3.63,set5
fft0_5_run,124.00,3.70,set5
fft0_5_run,115.00,3.70,set5
fft0_5_run,109.00,3.70,set5
fft0_5_run,112.00,3.70,set5
fft0_5_run,121.00,4.46,set5
fft0_5_run,129.00,4.46,set5
fft0_5_run,114.00,4.46,set5
fft0_5_run,67.00,4.46,set5
fft0_5_run,104.00,4.46,set5
fft0_5_run,186.00,4.51,set5
fft0_5_run,128.00,4.51,set5
fft0_5_run,109.00,4.92,set5
fft0_5_run,128.00,5.23,set5
fft0_5_run,113.00,5.23,set5
fft0_5_run,109.00,5.23,set5
fft0_5_run,120.00,5.23,set5
fft0_5_run,133.00,5.30,set5
fft0_5_run,99.00,5.30,set5
randsample_run,247.52,0.41,set5
randsample_run,369.00,0.54,set5
randsample_run,353.00,0.61,set5
randsample_run,254.00,0.64,set5
randsample_run,227.72,0.72,set5
randsample_run,149.00,0.82,set5
randsample_run,163.00,0.89,set5
randsample_run,146.00,0.90,set5
randsample_run,152.00,0.94,set5
randsample_run,152.00,0.94,set5
randsample_run,162.00,0.96,set5
randsample_run,148.00,0.96,set5
randsample_run,158.00,1.09,set5
randsample_run,157.00,1.09,set5
randsample_run,155.00,1.09,set5
randsample_run,171.00,1.11,set5
randsample_run,65.00,1.11,set5
cc_prep,249.50,0.40,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,1.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
wc_prep,264.36,0.40,set5
matmult0_5_run,205.94,0.29,set5
matmult0_5_run,185.00,0.47,set5
matmult0_5_run,232.00,0.61,set5
matmult0_5_run,160.00,0.74,set5
matmult0_5_run,262.00,0.77,set5
matmult0_5_run,292.00,0.84,set5
matmult0_5_run,255.00,0.86,set5
matmult0_5_run,182.00,0.92,set5
matmult0_5_run,59.00,0.92,set5
fft0_5_prep,239.00,0.40,set5
sort_prep,258.42,0.35,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_run,254.46,0.40,set5
md5_run,376.00,0.54,set5
md5_run,188.00,0.54,set5
md5_run,150.00,0.55,set5
md5_run,176.00,0.55,set5
md5_run,122.00,0.55,set5
md5_run,108.00,0.55,set5
md5_run,103.00,0.55,set5
md5_run,96.00,0.55,set5
md5_run,104.00,0.55,set5
md5_run,110.00,0.55,set5
md5_run,102.00,0.55,set5
md5_run,104.00,0.56,set5
md5_run,105.00,0.56,set5
md5_run,103.00,0.56,set5
md5_run,105.00,0.57,set5
md5_run,103.00,0.57,set5
md5_run,126.00,0.59,set5
md5_run,103.00,0.59,set5
md5_run,101.00,0.59,set5
md5_run,107.00,0.59,set5
md5_run,104.00,0.59,set5
md5_run,103.00,0.59,set5
