Workload,CPU,Mem,Set
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
grep_prep,0.00,0.00,set5
wc_prep,215.84,0.34,set5
matmult0_5_run,417.82,0.34,set5
matmult0_5_run,135.00,0.41,set5
matmult0_5_run,140.00,0.45,set5
matmult0_5_run,128.00,0.48,set5
matmult0_5_run,323.00,0.51,set5
matmult0_5_run,330.00,0.56,set5
matmult0_5_run,283.00,0.57,set5
matmult0_5_run,206.00,0.65,set5
matmult0_5_run,1.00,0.65,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,0.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,2.00,0.63,set5
matmult0_5_run,3.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,3.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,1.00,0.63,set5
matmult0_5_run,75.00,0.63,set5
fft0_5_prep,213.86,0.33,set5
sort_prep,211.88,0.33,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
md5_prep,0.00,0.00,set5
