Workload,Timestamp,CPU,Mem,Set
fft0_5_run,1590466923,261.00,0.36,set5
fft0_5_run,1590466924,265.00,0.40,set5
fft0_5_run,1590466925,167.00,0.41,set5
fft0_5_run,1590466926,3.00,0.41,set5
fft0_5_run,1590466927,1.00,0.41,set5
fft0_5_run,1590466928,1.00,0.41,set5
fft0_5_run,1590466929,1.00,0.41,set5
fft0_5_run,1590466930,2.00,0.41,set5
fft0_5_run,1590466931,4.00,0.41,set5
fft0_5_run,1590466932,3.00,0.41,set5
fft0_5_run,1590466933,1.00,0.41,set5
fft0_5_run,1590466934,2.00,0.41,set5
fft0_5_run,1590466935,0.99,0.41,set5
fft0_5_run,1590466936,1.01,0.41,set5
fft0_5_run,1590466937,3.00,0.41,set5
fft0_5_run,1590466938,0.99,0.41,set5
fft0_5_run,1590466939,1.00,0.41,set5
fft0_5_run,1590466940,0.00,0.41,set5
fft0_5_run,1590466941,1.00,0.41,set5
fft0_5_run,1590466942,1.00,0.41,set5
fft0_5_run,1590466943,1.00,0.41,set5
fft0_5_run,1590466944,1.00,0.41,set5
fft0_5_run,1590466945,0.00,0.41,set5
fft0_5_run,1590466946,2.00,0.41,set5
fft0_5_run,1590466947,1.00,0.41,set5
fft0_5_run,1590466948,3.00,0.41,set5
fft0_5_run,1590466949,1.00,0.41,set5
fft0_5_run,1590466950,1.00,0.41,set5
fft0_5_run,1590466951,3.00,0.41,set5
fft0_5_run,1590466952,123.00,0.42,set5
fft0_5_run,1590466953,2.00,0.42,set5
fft0_5_run,1590466954,3.00,0.42,set5
fft0_5_run,1590466955,0.00,0.42,set5
fft0_5_run,1590466956,1.00,0.42,set5
fft0_5_run,1590466957,1.00,0.42,set5
fft0_5_run,1590466958,1.00,0.42,set5
fft0_5_run,1590466959,1.00,0.42,set5
fft0_5_run,1590466960,1.00,0.42,set5
fft0_5_run,1590466961,0.00,0.42,set5
fft0_5_run,1590466962,1.00,0.42,set5
fft0_5_run,1590466963,2.00,0.42,set5
fft0_5_run,1590466964,1.00,0.42,set5
fft0_5_run,1590466965,1.00,0.42,set5
fft0_5_run,1590466966,1.00,0.42,set5
fft0_5_run,1590466967,1.00,0.42,set5
fft0_5_run,1590466968,1.00,0.42,set5
fft0_5_run,1590466969,2.00,0.42,set5
fft0_5_run,1590466970,1.00,0.42,set5
fft0_5_run,1590466971,0.00,0.42,set5
fft0_5_run,1590466972,1.00,0.42,set5
fft0_5_run,1590466973,1.00,0.42,set5
fft0_5_run,1590466974,2.00,0.42,set5
fft0_5_run,1590466975,0.00,0.42,set5
fft0_5_run,1590466976,1.00,0.42,set5
fft0_5_run,1590466977,1.00,0.42,set5
fft0_5_run,1590466978,1.00,0.42,set5
fft0_5_run,1590466979,1.00,0.42,set5
fft0_5_run,1590466980,1.00,0.42,set5
fft0_5_run,1590466981,1.00,0.42,set5
fft0_5_run,1590466982,2.00,0.42,set5
fft0_5_run,1590466983,1.00,0.42,set5
fft0_5_run,1590466984,1.00,0.42,set5
fft0_5_run,1590466985,1.00,0.42,set5
fft0_5_run,1590466986,3.00,0.42,set5
fft0_5_run,1590466987,0.00,0.42,set5
fft0_5_run,1590466988,2.00,0.42,set5
fft0_5_run,1590466989,0.00,0.42,set5
fft0_5_run,1590466990,1.00,0.42,set5
fft0_5_run,1590466991,2.00,0.42,set5
fft0_5_run,1590466992,1.00,0.42,set5
fft0_5_run,1590466993,0.00,0.42,set5
fft0_5_run,1590466994,1.00,0.42,set5
fft0_5_run,1590466995,1.00,0.42,set5
fft0_5_run,1590466996,1.00,0.42,set5
fft0_5_run,1590466997,0.00,0.42,set5
fft0_5_run,1590466998,1.00,0.42,set5
fft0_5_run,1590466999,2.00,0.42,set5
fft0_5_run,1590467000,1.00,0.42,set5
fft0_5_run,1590467001,1.00,0.42,set5
fft0_5_run,1590467002,0.00,0.42,set5
fft0_5_run,1590467003,1.00,0.42,set5
fft0_5_run,1590467004,1.00,0.42,set5
fft0_5_run,1590467005,0.00,0.42,set5
fft0_5_run,1590467006,2.00,0.42,set5
fft0_5_run,1590467007,1.00,0.42,set5
randsample_run,1590467619,332.67,0.38,set5
randsample_run,1590467620,268.00,0.42,set5
randsample_run,1590467621,46.00,0.42,set5
randsample_run,1590467622,3.00,0.42,set5
randsample_run,1590467623,2.00,0.42,set5
randsample_run,1590467624,2.00,0.42,set5
randsample_run,1590467625,1.00,0.42,set5
randsample_run,1590467626,0.00,0.42,set5
randsample_run,1590467627,3.00,0.42,set5
randsample_run,1590467628,4.00,0.42,set5
randsample_run,1590467629,1.00,0.42,set5
randsample_run,1590467630,1.00,0.42,set5
randsample_run,1590467631,1.00,0.42,set5
randsample_run,1590467632,0.00,0.42,set5
randsample_run,1590467633,2.00,0.42,set5
randsample_run,1590467634,2.00,0.42,set5
randsample_run,1590467635,0.00,0.42,set5
randsample_run,1590467636,1.00,0.42,set5
randsample_run,1590467637,2.00,0.42,set5
randsample_run,1590467638,2.00,0.42,set5
randsample_run,1590467639,0.00,0.42,set5
randsample_run,1590467640,0.00,0.42,set5
randsample_run,1590467641,1.00,0.42,set5
randsample_run,1590467642,1.00,0.42,set5
randsample_run,1590467643,1.00,0.42,set5
randsample_run,1590467644,2.00,0.42,set5
randsample_run,1590467645,1.00,0.42,set5
randsample_run,1590467646,0.00,0.42,set5
randsample_run,1590467647,1.00,0.42,set5
randsample_run,1590467648,1.00,0.42,set5
randsample_run,1590467649,1.00,0.42,set5
randsample_run,1590467650,1.00,0.42,set5
randsample_run,1590467651,3.00,0.42,set5
randsample_run,1590467652,1.00,0.42,set5
randsample_run,1590467653,1.00,0.42,set5
randsample_run,1590467654,0.00,0.42,set5
randsample_run,1590467655,1.00,0.42,set5
randsample_run,1590467656,1.00,0.42,set5
randsample_run,1590467657,0.00,0.42,set5
randsample_run,1590467658,1.00,0.42,set5
randsample_run,1590467659,1.00,0.42,set5
cc_prep,1590465127,216.83,0.33,set5
grep_prep,1590467025,0.00,0.00,set5
grep_prep,1590467026,0.00,0.00,set5
grep_prep,1590467027,0.00,0.00,set5
grep_prep,1590467028,0.00,0.00,set5
grep_prep,1590467029,0.00,0.00,set5
grep_prep,1590467030,0.00,0.00,set5
grep_prep,1590467031,0.00,0.00,set5
grep_prep,1590467032,0.00,0.00,set5
grep_prep,1590467033,0.00,0.00,set5
grep_prep,1590467034,0.00,0.00,set5
grep_prep,1590467035,0.00,0.00,set5
grep_prep,1590467036,0.00,0.00,set5
grep_prep,1590467037,0.00,0.00,set5
grep_prep,1590467038,0.00,0.00,set5
grep_prep,1590467039,0.00,0.00,set5
grep_prep,1590467041,0.00,0.00,set5
grep_prep,1590467042,0.00,0.00,set5
grep_prep,1590467043,0.00,0.00,set5
